60026,86840,1483,736,5039,5,3372238,54076
60036,85200,1441,127,4731,0,3254683,54025
60030,79480,1515,157,4892,0,3091421,54580
60014,101440,1368,116,4241,0,2933580,52497
TransformationProblem,1140848644944202,NSGAII,60048,89120,1479,705,4809,4,3264183,54267
TransformationProblem,1140848644944202,NSGAII,60016,104560,1473,151,4912,1,3677677,51778
TransformationProblem,1140848644944202,NSGAII,60013,100280,1496,128,4779,0,3323545,51970
TransformationProblem,1140848644944202,NSGAII,60029,84080,1515,127,4773,0,3201775,51816
TransformationProblem,1140848644944202,NSGAII,60017,106120,1420,136,4608,0,3641275,49615
TransformationProblem,1140848644944202,NSGAII,60010,96760,1454,148,4731,2,3196004,52685
TransformationProblem,1140848644944202,NSGAII,60007,125560,1503,147,5036,0,3348490,50453
TransformationProblem,1140848644944202,NSGAII,60017,79480,1495,155,4917,2,3085688,54029
TransformationProblem,1140848644944202,NSGAII,60009,89480,1514,146,4864,0,3350153,51859
TransformationProblem,1140848644944202,NSGAII,60025,107000,1404,132,4513,0,3585222,50560
TransformationProblem,6804113568614574,NSGAII,5045,3600,5132,1383,12883,7,151212,3750
TransformationProblem,6804113569242968,NSGAII_OM,5006,53000,23530,1032,47988,3,106136,2232
TransformationProblem,6804427613550712,NSGAII,5085,3000,4845,1581,12516,4,120546,3969
TransformationProblem,6804427614353869,NSGAII_OM,5006,40200,18639,1032,38796,3,85395,2191
