2949291887,1,100,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
7401570611,2,200,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
11101644919,3,300,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
13729213579,4,400,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
17335186431,5,500,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
19977306806,6,600,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
23057829347,7,700,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
27389952995,8,800,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
32113175494,9,900,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
36853499467,10,1000,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
39743260121,11,1100,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
42894634209,12,1200,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
45907272410,13,1300,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
49772481653,14,1400,2,2,-0.0,0.0,2,-2.7927290758557195,74.0
